Port Name,Measure,Jan 2026,Feb 2026
Total,Total,"1,300,283","1,278,256"
Alcan,Truck Containers Empty,246,272
Alcan,Trucks,650,554
Alexandria Bay,Truck Containers Empty,"1,508","1,514"
Alexandria Bay,Trucks,"12,388","13,043"
Antler,Truck Containers Empty,88,84
Antler,Trucks,88,84
Baudette,Truck Containers Empty,284,214
Baudette,Trucks,298,250
Beecher Falls,Truck Containers Empty,357,359
Beecher Falls,Trucks,608,677
Blaine,Truck Containers Empty,"7,454","6,650"
Blaine,Trucks,"26,143","24,140"
Boundary,Truck Containers Empty,4,6
Boundary,Trucks,25,28
Bridgewater,Truck Containers Empty,135,202
Bridgewater,Trucks,263,330
Brownsville,Truck Containers Empty,"20,903","19,627"
Brownsville,Trucks,"28,851","27,471"
Buffalo Niagara Falls,Truck Containers Empty,"13,817","12,606"
Buffalo Niagara Falls,Trucks,"62,667","64,340"
Calais,Truck Containers Empty,834,609
Calais,Trucks,"3,480","3,210"
Calexico East,Truck Containers Empty,"17,028","15,972"
Calexico East,Trucks,"37,247","35,461"
Carbury,Truck Containers Empty,6,4
Carbury,Trucks,118,68
Champlain Rouses Point,Truck Containers Empty,"2,457","2,303"
Champlain Rouses Point,Trucks,"20,139","18,885"
Columbus,Truck Containers Empty,139,145
Columbus,Trucks,730,473
Dalton Cache,Truck Containers Empty,65,44
Dalton Cache,Trucks,73,47
Danville,Truck Containers Empty,4,3
Danville,Trucks,9,3
Del Bonita,Truck Containers Empty,58,45
Del Bonita,Trucks,83,66
Del Rio,Truck Containers Empty,"2,682","2,763"
Del Rio,Trucks,"7,304","7,566"
Derby Line,Truck Containers Empty,694,722
Derby Line,Trucks,"5,639","5,531"
Detroit,Truck Containers Empty,"14,701","13,983"
Detroit,Trucks,"84,522","90,794"
Douglas,Truck Containers Empty,944,859
Douglas,Trucks,"2,071","2,107"
Dunseith,Truck Containers Empty,166,126
Dunseith,Trucks,"2,394","1,935"
Eagle Pass,Truck Containers Empty,"24,586","16,600"
Eagle Pass,Trucks,"35,119","27,588"
Eastport,Truck Containers Empty,909,739
Eastport,Trucks,"3,613","3,600"
El Paso,Truck Containers Empty,"7,946","7,325"
El Paso,Trucks,"14,489","13,879"
Ferry,Truck Containers Empty,1,1
Ferry,Trucks,6,1
Fort Fairfield,Truck Containers Empty,44,57
Fort Fairfield,Trucks,356,462
Fort Kent,Truck Containers Empty,150,269
Fort Kent,Trucks,193,309
Fortuna,Truck Containers Empty,139,147
Fortuna,Trucks,227,175
Frontier,Truck Containers Empty,"1,644","1,515"
Frontier,Trucks,"2,409","2,236"
Grand Portage,Truck Containers Empty,228,263
Grand Portage,Trucks,739,713
Hannah,Truck Containers Empty,,1
Hannah,Trucks,3,21
Hansboro,Truck Containers Empty,5,5
