port_name,measure,mes_label,tot_value,mes,value,delta
Total,Total,Jan 2026,1300283,2026-01,0,1300283
Total,Total,Feb 2026,1278256,2026-02,0,1278256
Ysleta,Trucks,Jan 2026,53942,2026-01,53622,320
Buffalo Niagara Falls,Trucks,Feb 2026,64340,2026-02,64636,-296
Eagle Pass,Trucks,Jan 2026,35119,2026-01,35322,-203
Laredo,Truck Containers Empty,Feb 2026,56377,2026-02,56563,-186
Detroit,Trucks,Feb 2026,90794,2026-02,90952,-158
Calexico East,Trucks,Jan 2026,37247,2026-01,37387,-140
Buffalo Niagara Falls,Trucks,Jan 2026,62667,2026-01,62797,-130
Hidalgo,Trucks,Jan 2026,63950,2026-01,63825,125
Ysleta,Truck Containers Empty,Jan 2026,19862,2026-01,19744,118
Laredo,Trucks,Jan 2026,225670,2026-01,225784,-114
Detroit,Truck Containers Empty,Jan 2026,14701,2026-01,14593,108
Port Huron,Trucks,Feb 2026,75193,2026-02,75085,108
Blaine,Trucks,Feb 2026,24140,2026-02,24046,94
Champlain Rouses Point,Trucks,Feb 2026,18885,2026-02,18792,93
Ysleta,Trucks,Feb 2026,54043,2026-02,54129,-86
Blaine,Trucks,Jan 2026,26143,2026-01,26066,77
Otay Mesa,Truck Containers Empty,Jan 2026,19969,2026-01,19897,72
Brownsville,Trucks,Jan 2026,28851,2026-01,28781,70
Champlain Rouses Point,Trucks,Jan 2026,20139,2026-01,20209,-70
Ysleta,Truck Containers Empty,Feb 2026,20407,2026-02,20476,-69
Hidalgo,Truck Containers Empty,Jan 2026,21784,2026-01,21718,66
Brownsville,Truck Containers Empty,Feb 2026,19627,2026-02,19687,-60
Alexandria Bay,Trucks,Feb 2026,13043,2026-02,12984,59
Nogales,Trucks,Jan 2026,38181,2026-01,38122,59
Detroit,Trucks,Jan 2026,84522,2026-01,84467,55
Calexico East,Truck Containers Empty,Jan 2026,17028,2026-01,16973,55
Santa Teresa,Trucks,Feb 2026,14442,2026-02,14387,55
Brownsville,Truck Containers Empty,Jan 2026,20903,2026-01,20957,-54
Derby Line,Trucks,Feb 2026,5531,2026-02,5477,54
Hidalgo,Trucks,Feb 2026,57219,2026-02,57272,-53
Pembina,Trucks,Jan 2026,18472,2026-01,18420,52
Santa Teresa,Trucks,Jan 2026,15450,2026-01,15499,-49
Laredo,Trucks,Feb 2026,236216,2026-02,236170,46
Otay Mesa,Truck Containers Empty,Feb 2026,19283,2026-02,19328,-45
Eagle Pass,Truck Containers Empty,Feb 2026,16600,2026-02,16555,45
Portal,Trucks,Feb 2026,7035,2026-02,6991,44
Highgate Springs,Trucks,Feb 2026,7723,2026-02,7681,42
Brownsville,Trucks,Feb 2026,27471,2026-02,27431,40
Port Huron,Trucks,Jan 2026,71718,2026-01,71758,-40
Pembina,Trucks,Feb 2026,18144,2026-02,18183,-39
San Luis,Trucks,Feb 2026,5025,2026-02,4988,37
Sweetgrass,Trucks,Feb 2026,11190,2026-02,11226,-36
Otay Mesa,Trucks,Jan 2026,75617,2026-01,75650,-33
Calexico East,Truck Containers Empty,Feb 2026,15972,2026-02,16005,-33
Sault Sainte Marie,Trucks,Jan 2026,2164,2026-01,2132,32
Jackman,Trucks,Feb 2026,6163,2026-02,6131,32
El Paso,Trucks,Feb 2026,13879,2026-02,13849,30
Sumas,Trucks,Jan 2026,9299,2026-01,9270,29
Sault Sainte Marie,Trucks,Feb 2026,2163,2026-02,2135,28
Progreso,Trucks,Feb 2026,7435,2026-02,7463,-28
Lukeville,Trucks,Jan 2026,59,2026-01,31,28
Calexico East,Trucks,Feb 2026,35461,2026-02,35433,28
Blaine,Truck Containers Empty,Jan 2026,7454,2026-01,7426,28
Champlain Rouses Point,Truck Containers Empty,Jan 2026,2457,2026-01,2430,27
Del Bonita,Truck Containers Empty,Jan 2026,58,2026-01,31,27
Alexandria Bay,Trucks,Jan 2026,12388,2026-01,12414,-26
Limestone,Trucks,Jan 2026,88,2026-01,62,26
Antler,Trucks,Jan 2026,88,2026-01,62,26
Roseau,Truck Containers Empty,Jan 2026,88,2026-01,62,26
Turner,Truck Containers Empty,Jan 2026,26,2026-01,0,26
Fort Kent,Truck Containers Empty,Jan 2026,150,2026-01,124,26
Antler,Truck Containers Empty,Jan 2026,88,2026-01,62,26
Boundary,Trucks,Jan 2026,25,2026-01,0,25
Warroad,Truck Containers Empty,Jan 2026,122,2026-01,97,25
Tornillo,Trucks,Jan 2026,2668,2026-01,2643,25
Kenneth G Ward,Trucks,Jan 2026,2038,2026-01,2013,25
Carbury,Trucks,Jan 2026,118,2026-01,93,25
Tecate,Truck Containers Empty,Feb 2026,1574,2026-02,1550,24
Norton,Truck Containers Empty,Feb 2026,80,2026-02,56,24
Westhope,Truck Containers Empty,Feb 2026,24,2026-02,0,24
Northgate,Truck Containers Empty,Jan 2026,152,2026-01,129,23
Laredo,Truck Containers Empty,Jan 2026,55186,2026-01,55209,-23
Massena,Truck Containers Empty,Jan 2026,209,2026-01,186,23
Limestone,Truck Containers Empty,Jan 2026,61,2026-01,38,23
San Luis,Truck Containers Empty,Feb 2026,1077,2026-02,1054,23
Northgate,Trucks,Jan 2026,178,2026-01,155,23
Eagle Pass,Trucks,Feb 2026,27588,2026-02,27565,23
Naco,Truck Containers Empty,Feb 2026,107,2026-02,84,23
Port Huron,Truck Containers Empty,Feb 2026,5961,2026-02,5939,22
Raymond,Trucks,Feb 2026,1110,2026-02,1088,22
Calais,Trucks,Jan 2026,3480,2026-01,3458,22
Buffalo Niagara Falls,Truck Containers Empty,Jan 2026,13817,2026-01,13839,-22
Westhope,Trucks,Jan 2026,146,2026-01,124,22
Frontier,Truck Containers Empty,Jan 2026,1644,2026-01,1622,22
Raymond,Truck Containers Empty,Jan 2026,115,2026-01,93,22
Naco,Trucks,Jan 2026,208,2026-01,186,22
Del Bonita,Trucks,Jan 2026,83,2026-01,62,21
Walhalla,Truck Containers Empty,Jan 2026,145,2026-01,124,21
Trout River,Truck Containers Empty,Jan 2026,274,2026-01,253,21
Porthill,Trucks,Jan 2026,242,2026-01,221,21
Porthill,Truck Containers Empty,Jan 2026,52,2026-01,31,21
Buffalo Niagara Falls,Truck Containers Empty,Feb 2026,12606,2026-02,12627,-21
Hannah,Trucks,Feb 2026,21,2026-02,0,21
Madawaska,Truck Containers Empty,Jan 2026,831,2026-01,811,20
Progreso,Truck Containers Empty,Jan 2026,4944,2026-01,4924,20
Del Rio,Trucks,Jan 2026,7304,2026-01,7284,20
Jackman,Truck Containers Empty,Feb 2026,2946,2026-02,2926,20
Sumas,Truck Containers Empty,Feb 2026,2676,2026-02,2656,20
Walhalla,Trucks,Jan 2026,268,2026-01,248,20
Hansboro,Trucks,Jan 2026,20,2026-01,0,20
Alcan,Truck Containers Empty,Feb 2026,272,2026-02,252,20
Metaline Falls,Trucks,Jan 2026,517,2026-01,497,20
Antler,Trucks,Feb 2026,84,2026-02,65,19
Skagway,Truck Containers Empty,Jan 2026,143,2026-01,124,19
Alexandria Bay,Truck Containers Empty,Feb 2026,1514,2026-02,1495,19
Skagway,Trucks,Feb 2026,131,2026-02,112,19
Westhope,Truck Containers Empty,Jan 2026,19,2026-01,0,19
Sherwood,Trucks,Jan 2026,236,2026-01,217,19
Trout River,Trucks,Jan 2026,828,2026-01,809,19
Beecher Falls,Trucks,Feb 2026,677,2026-02,658,19
Dalton Cache,Trucks,Feb 2026,47,2026-02,28,19
Lancaster,Trucks,Feb 2026,194,2026-02,175,19
Pinecreek,Trucks,Feb 2026,19,2026-02,0,19
Porthill,Trucks,Feb 2026,247,2026-02,228,19
Baudette,Trucks,Jan 2026,298,2026-01,279,19
Presidio,Trucks,Jan 2026,748,2026-01,729,19
Noonan,Trucks,Jan 2026,80,2026-01,62,18
Lancaster,Trucks,Jan 2026,173,2026-01,155,18
Sumas,Truck Containers Empty,Jan 2026,2755,2026-01,2737,18
Roosville,Truck Containers Empty,Jan 2026,18,2026-01,0,18
Baudette,Truck Containers Empty,Feb 2026,214,2026-02,196,18
International Falls,Trucks,Feb 2026,1165,2026-02,1147,18
Metaline Falls,Truck Containers Empty,Feb 2026,478,2026-02,460,18
Derby Line,Truck Containers Empty,Jan 2026,694,2026-01,676,18
Eastport,Truck Containers Empty,Jan 2026,909,2026-01,891,18
Noonan,Truck Containers Empty,Jan 2026,80,2026-01,62,18
Raymond,Truck Containers Empty,Feb 2026,164,2026-02,146,18
Douglas,Truck Containers Empty,Feb 2026,859,2026-02,841,18
Dunseith,Trucks,Feb 2026,1935,2026-02,1917,18
Frontier,Trucks,Feb 2026,2236,2026-02,2218,18
Neche,Trucks,Feb 2026,356,2026-02,338,18
Ogdensburg,Truck Containers Empty,Feb 2026,273,2026-02,255,18
Columbus,Trucks,Jan 2026,730,2026-01,713,17
Del Bonita,Truck Containers Empty,Feb 2026,45,2026-02,28,17
Oroville,Truck Containers Empty,Feb 2026,680,2026-02,663,17
Westhope,Trucks,Feb 2026,101,2026-02,84,17
Point Roberts,Trucks,Feb 2026,511,2026-02,494,17
Norton,Trucks,Jan 2026,389,2026-01,372,17
Raymond,Trucks,Jan 2026,1085,2026-01,1068,17
Van Buren,Trucks,Feb 2026,1216,2026-02,1199,17
Wildhorse,Truck Containers Empty,Feb 2026,17,2026-02,0,17
Warroad,Trucks,Jan 2026,587,2026-01,570,17
Fort Kent,Truck Containers Empty,Feb 2026,269,2026-02,252,17
Massena,Truck Containers Empty,Feb 2026,219,2026-02,202,17
Limestone,Trucks,Feb 2026,84,2026-02,67,17
Wildhorse,Trucks,Jan 2026,79,2026-01,62,17
Highgate Springs,Trucks,Jan 2026,7738,2026-01,7721,17
Presidio,Truck Containers Empty,Feb 2026,268,2026-02,252,16
Madawaska,Trucks,Jan 2026,1084,2026-01,1068,16
Baudette,Trucks,Feb 2026,250,2026-02,234,16
Beecher Falls,Truck Containers Empty,Feb 2026,359,2026-02,343,16
Bridgewater,Trucks,Feb 2026,330,2026-02,314,16
Calais,Truck Containers Empty,Feb 2026,609,2026-02,593,16
