date,port_name,port_code,state,measure,value,border
2023-12-01,Sherwood,3414,North Dakota,Trucks,197,US-Canada Border
2023-12-01,Westhope,3419,North Dakota,Truck Containers Empty,26,US-Canada Border
2023-12-01,Laredo,2304,Texas,Trucks,223977,US-Mexico Border
2023-12-01,El Paso,2402,Texas,Trucks,8624,US-Mexico Border
2023-12-01,Lukeville,2602,Arizona,Trucks,7,US-Mexico Border
2023-12-01,Laurier,3016,Washington,Truck Containers Loaded,142,US-Canada Border
2023-12-01,Laredo,2304,Texas,Truck Containers Loaded,177325,US-Mexico Border
2023-12-01,Rio Grande City,2307,Texas,Trucks,2940,US-Mexico Border
2023-12-01,Richford,0203,Vermont,Trucks,242,US-Canada Border
2023-12-01,Grand Portage,3613,Minnesota,Truck Containers Loaded,762,US-Canada Border
2023-12-01,Calexico East,2507,California,Truck Containers Loaded,38791,US-Mexico Border
2023-12-01,Del Rio,2302,Texas,Truck Containers Loaded,4742,US-Mexico Border
2023-12-01,Presidio,2403,Texas,Truck Containers Loaded,612,US-Mexico Border
2023-12-01,Laurier,3016,Washington,Trucks,448,US-Canada Border
2023-12-01,Point Roberts,3017,Washington,Truck Containers Loaded,129,US-Canada Border
2023-12-01,Hansboro,3415,North Dakota,Truck Containers Empty,9,US-Canada Border
2023-12-01,Roseau,3426,Minnesota,Truck Containers Empty,115,US-Canada Border
2023-12-01,Calais,0115,Maine,Truck Containers Empty,1390,US-Canada Border
2023-12-01,Boundary,3015,Washington,Truck Containers Loaded,29,US-Canada Border
2023-12-01,Houlton,0106,Maine,Trucks,6331,US-Canada Border
2023-12-01,Sherwood,3414,North Dakota,Truck Containers Empty,112,US-Canada Border
2023-12-01,Dalton Cache,3106,Alaska,Truck Containers Empty,28,US-Canada Border
2023-12-01,Hidalgo,2305,Texas,Trucks,53669,US-Mexico Border
2023-12-01,Limestone,0118,Maine,Truck Containers Empty,53,US-Canada Border
2023-12-01,Sumas,3009,Washington,Truck Containers Empty,2828,US-Canada Border
2023-12-01,Alcan,3104,Alaska,Truck Containers Empty,318,US-Canada Border
2023-12-01,Noonan,3420,North Dakota,Trucks,124,US-Canada Border
2023-12-01,Roosville,3318,Montana,Trucks,664,US-Canada Border
2023-12-01,Otay Mesa,2506,California,Truck Containers Loaded,99473,US-Mexico Border
2023-12-01,Walhalla,3407,North Dakota,Truck Containers Loaded,181,US-Canada Border
2023-12-01,Point Roberts,3017,Washington,Truck Containers Empty,328,US-Canada Border
2023-12-01,Sweetgrass,3310,Montana,Trucks,11986,US-Canada Border
2023-12-01,Vanceboro,0105,Maine,Truck Containers Loaded,12,US-Canada Border
2023-12-01,Derby Line,0209,Vermont,Truck Containers Empty,723,US-Canada Border
2023-12-01,Blaine,3004,Washington,Truck Containers Loaded,29463,US-Canada Border
2023-12-01,Wildhorse,3323,Montana,Trucks,18,US-Canada Border
2023-12-01,Frontier,3020,Washington,Trucks,1863,US-Canada Border
2023-12-01,Dalton Cache,3106,Alaska,Trucks,37,US-Canada Border
2023-12-01,Morgan,3319,Montana,Truck Containers Loaded,9,US-Canada Border
2023-12-01,Champlain Rouses Point,0712,New York,Truck Containers Empty,2303,US-Canada Border
2023-12-01,Tornillo,2404,Texas,Truck Containers Empty,344,US-Mexico Border
2023-12-01,Buffalo Niagara Falls,0901,New York,Truck Containers Loaded,94709,US-Canada Border
2023-12-01,Raymond,3301,Montana,Trucks,1081,US-Canada Border
2023-12-01,Madawaska,0109,Maine,Truck Containers Empty,116,US-Canada Border
2023-12-01,Pinecreek,3425,Minnesota,Truck Containers Loaded,5,US-Canada Border
2023-12-01,Naco,2603,Arizona,Trucks,219,US-Mexico Border
2023-12-01,Ysleta,2401,Texas,Trucks,47446,US-Mexico Border
2023-12-01,Fortuna,3417,North Dakota,Trucks,227,US-Canada Border
2023-12-01,Antler,3413,North Dakota,Truck Containers Loaded,8,US-Canada Border
2023-12-01,Madawaska,0109,Maine,Trucks,116,US-Canada Border
2023-12-01,Ferry,3013,Washington,Truck Containers Loaded,2,US-Canada Border
2023-12-01,Blaine,3004,Washington,Truck Containers Empty,9238,US-Canada Border
2023-12-01,Oroville,3019,Washington,Trucks,1740,US-Canada Border
2023-12-01,Dunseith,3422,North Dakota,Trucks,1793,US-Canada Border
2023-12-01,Sumas,3009,Washington,Trucks,9716,US-Canada Border
2023-12-01,Fortuna,3417,North Dakota,Truck Containers Loaded,440,US-Canada Border
2023-12-01,Portal,3403,North Dakota,Truck Containers Loaded,9646,US-Canada Border
2023-12-01,Bridgewater,0127,Maine,Truck Containers Empty,168,US-Canada Border
2023-12-01,San Luis,2608,Arizona,Truck Containers Loaded,4958,US-Mexico Border
2023-12-01,Dunseith,3422,North Dakota,Truck Containers Empty,548,US-Canada Border
2023-12-01,Noonan,3420,North Dakota,Truck Containers Empty,124,US-Canada Border
2023-12-01,Roma,2310,Texas,Truck Containers Loaded,5872,US-Mexico Border
2023-12-01,Ysleta,2401,Texas,Truck Containers Loaded,54813,US-Mexico Border
2023-12-01,Van Buren,0108,Maine,Truck Containers Loaded,1432,US-Canada Border
2023-12-01,Alcan,3104,Alaska,Trucks,440,US-Canada Border
2023-12-01,Tornillo,2404,Texas,Trucks,471,US-Mexico Border
2023-12-01,Piegan,3316,Montana,Trucks,140,US-Canada Border
2023-12-01,Nogales,2604,Arizona,Truck Containers Empty,7900,US-Mexico Border
2023-12-01,Champlain Rouses Point,0712,New York,Trucks,19355,US-Canada Border
2023-12-01,Danville,3012,Washington,Truck Containers Loaded,3,US-Canada Border
2023-12-01,Roosville,3318,Montana,Truck Containers Loaded,891,US-Canada Border
2023-12-01,Baudette,3424,Minnesota,Truck Containers Empty,377,US-Canada Border
2023-12-01,Hansboro,3415,North Dakota,Truck Containers Loaded,2,US-Canada Border
2023-12-01,Fortuna,3417,North Dakota,Truck Containers Empty,28,US-Canada Border
2023-12-01,Danville,3012,Washington,Trucks,9,US-Canada Border
2023-12-01,Sumas,3009,Washington,Truck Containers Loaded,12253,US-Canada Border
2023-12-01,Sarles,3409,North Dakota,Truck Containers Loaded,204,US-Canada Border
2023-12-01,Oroville,3019,Washington,Truck Containers Loaded,2080,US-Canada Border
2023-12-01,Ogdensburg,0701,New York,Truck Containers Loaded,4036,US-Canada Border
2023-12-01,Eagle Pass,2303,Texas,Truck Containers Empty,4513,US-Mexico Border
2023-12-01,St John,3405,North Dakota,Truck Containers Empty,80,US-Canada Border
2023-12-01,Rio Grande City,2307,Texas,Truck Containers Empty,263,US-Mexico Border
2023-12-01,Piegan,3316,Montana,Truck Containers Loaded,211,US-Canada Border
2023-12-01,Norton,0211,Vermont,Trucks,358,US-Canada Border
2023-12-01,Ferry,3013,Washington,Trucks,8,US-Canada Border
2023-12-01,Wildhorse,3323,Montana,Truck Containers Empty,2,US-Canada Border
2023-12-01,Eagle Pass,2303,Texas,Trucks,10504,US-Mexico Border
2023-12-01,Del Rio,2302,Texas,Trucks,6552,US-Mexico Border
2023-12-01,Jackman,0104,Maine,Truck Containers Loaded,2646,US-Canada Border
2023-12-01,Morgan,3319,Montana,Truck Containers Empty,16,US-Canada Border
2023-12-01,Ysleta,2401,Texas,Truck Containers Empty,18304,US-Mexico Border
2023-12-01,Metaline Falls,3025,Washington,Truck Containers Empty,193,US-Canada Border
2023-12-01,Pembina,3401,North Dakota,Trucks,18389,US-Canada Border
2023-12-01,Del Rio,2302,Texas,Truck Containers Empty,1948,US-Mexico Border
2023-12-01,Naco,2603,Arizona,Truck Containers Loaded,129,US-Mexico Border
2023-12-01,Raymond,3301,Montana,Truck Containers Empty,314,US-Canada Border
2023-12-01,Sarles,3409,North Dakota,Truck Containers Empty,27,US-Canada Border
2023-12-01,Nogales,2604,Arizona,Trucks,31302,US-Mexico Border
2023-12-01,Brownsville,2301,Texas,Truck Containers Loaded,10240,US-Mexico Border
2023-12-01,Jackman,0104,Maine,Trucks,4183,US-Canada Border
2023-12-01,Hannah,3408,North Dakota,Truck Containers Empty,2,US-Canada Border
2023-12-01,Port Huron,3802,Michigan,Truck Containers Empty,8001,US-Canada Border
2023-12-01,Pembina,3401,North Dakota,Truck Containers Loaded,28227,US-Canada Border
2023-12-01,Boundary,3015,Washington,Truck Containers Empty,6,US-Canada Border
2023-12-01,Naco,2603,Arizona,Truck Containers Empty,125,US-Mexico Border
2023-12-01,Beecher Falls,0206,Vermont,Truck Containers Empty,418,US-Canada Border
2023-12-01,Highgate Springs,0212,Vermont,Truck Containers Empty,1418,US-Canada Border
2023-12-01,San Luis,2608,Arizona,Truck Containers Empty,1341,US-Mexico Border
2023-12-01,Metaline Falls,3025,Washington,Trucks,254,US-Canada Border
2023-12-01,Northgate,3406,North Dakota,Truck Containers Empty,245,US-Canada Border
2023-12-01,Houlton,0106,Maine,Truck Containers Empty,1185,US-Canada Border
2023-12-01,Fort Fairfield,0107,Maine,Truck Containers Loaded,103,US-Canada Border
2023-12-01,Santa Teresa,2408,New Mexico,Truck Containers Empty,5133,US-Mexico Border
2023-12-01,Fort Fairfield,0107,Maine,Truck Containers Empty,253,US-Canada Border
2023-12-01,Buffalo Niagara Falls,0901,New York,Truck Containers Empty,13753,US-Canada Border
2023-12-01,Alexandria Bay,0708,New York,Trucks,13502,US-Canada Border
2023-12-01,Sault Sainte Marie,3803,Michigan,Truck Containers Loaded,3279,US-Canada Border
2023-12-01,Port Angeles,3007,Washington,Trucks,23,US-Canada Border
2023-12-01,Metaline Falls,3025,Washington,Truck Containers Loaded,111,US-Canada Border
2023-12-01,Roma,2310,Texas,Trucks,3355,US-Mexico Border
2023-12-01,Douglas,2601,Arizona,Truck Containers Loaded,2400,US-Mexico Border
2023-12-01,Baudette,3424,Minnesota,Trucks,377,US-Canada Border
2023-12-01,Highgate Springs,0212,Vermont,Trucks,7090,US-Canada Border
2023-12-01,Massena,0704,New York,Truck Containers Empty,524,US-Canada Border
2023-12-01,Richford,0203,Vermont,Truck Containers Loaded,235,US-Canada Border
2023-12-01,El Paso,2402,Texas,Truck Containers Loaded,4701,US-Mexico Border
2023-12-01,Laredo,2304,Texas,Truck Containers Empty,59458,US-Mexico Border
2023-12-01,Trout River,0715,New York,Truck Containers Loaded,684,US-Canada Border
2023-12-01,Wildhorse,3323,Montana,Truck Containers Loaded,30,US-Canada Border
2023-12-01,Champlain Rouses Point,0712,New York,Truck Containers Loaded,31180,US-Canada Border
2023-12-01,Antler,3413,North Dakota,Truck Containers Empty,12,US-Canada Border
2023-12-01,Antler,3413,North Dakota,Trucks,16,US-Canada Border
2023-12-01,Turner,3306,Montana,Trucks,31,US-Canada Border
2023-12-01,Skagway,3103,Alaska,Truck Containers Loaded,27,US-Canada Border
2023-12-01,Lancaster,3430,Minnesota,Truck Containers Empty,421,US-Canada Border
2023-12-01,Turner,3306,Montana,Truck Containers Empty,28,US-Canada Border
2023-12-01,Port Huron,3802,Michigan,Trucks,57010,US-Canada Border
2023-12-01,Del Bonita,3322,Montana,Truck Containers Empty,18,US-Canada Border
2023-12-01,Opheim,3317,Montana,Truck Containers Loaded,6,US-Canada Border
2023-12-01,Eastport,3302,Idaho,Trucks,3301,US-Canada Border
2023-12-01,Warroad,3423,Minnesota,Truck Containers Empty,389,US-Canada Border
2023-12-01,Calais,0115,Maine,Trucks,4127,US-Canada Border
2023-12-01,Hidalgo,2305,Texas,Truck Containers Empty,18378,US-Mexico Border
2023-12-01,Warroad,3423,Minnesota,Trucks,575,US-Canada Border
2023-12-01,Tecate,2505,California,Truck Containers Loaded,5214,US-Mexico Border
2023-12-01,Fort Fairfield,0107,Maine,Trucks,312,US-Canada Border
2023-12-01,Port Huron,3802,Michigan,Truck Containers Loaded,90160,US-Canada Border
2023-12-01,Alcan,3104,Alaska,Truck Containers Loaded,221,US-Canada Border
2023-12-01,Del Bonita,3322,Montana,Truck Containers Loaded,33,US-Canada Border
2023-12-01,Westhope,3419,North Dakota,Trucks,68,US-Canada Border
2023-12-01,Blaine,3004,Washington,Trucks,25909,US-Canada Border
2023-12-01,Sherwood,3414,North Dakota,Truck Containers Loaded,160,US-Canada Border
2023-12-01,Northgate,3406,North Dakota,Trucks,349,US-Canada Border
2023-12-01,Vanceboro,0105,Maine,Trucks,23,US-Canada Border
2023-12-01,Massena,0704,New York,Truck Containers Loaded,2369,US-Canada Border
2023-12-01,Frontier,3020,Washington,Truck Containers Empty,1133,US-Canada Border
2023-12-01,Otay Mesa,2506,California,Trucks,74355,US-Mexico Border
2023-12-01,Progreso,2309,Texas,Truck Containers Empty,1576,US-Mexico Border
2023-12-01,Calexico East,2507,California,Trucks,35384,US-Mexico Border
2023-12-01,Trout River,0715,New York,Trucks,659,US-Canada Border
