year_month,port_name,state,border,measure,value
2025-01,Alcan,Alaska,US-Canada Border,Truck Containers Empty,404
2025-01,Alcan,Alaska,US-Canada Border,Truck Containers Loaded,335
2025-01,Alcan,Alaska,US-Canada Border,Trucks,586
2025-01,Alexandria Bay,New York,US-Canada Border,Truck Containers Empty,1849
2025-01,Alexandria Bay,New York,US-Canada Border,Truck Containers Loaded,25542
2025-01,Alexandria Bay,New York,US-Canada Border,Trucks,15439
2025-01,Antler,North Dakota,US-Canada Border,Truck Containers Empty,77
2025-01,Antler,North Dakota,US-Canada Border,Trucks,77
2025-01,Baudette,Minnesota,US-Canada Border,Truck Containers Empty,398
2025-01,Baudette,Minnesota,US-Canada Border,Truck Containers Loaded,64
2025-01,Baudette,Minnesota,US-Canada Border,Trucks,425
2025-01,Beecher Falls,Vermont,US-Canada Border,Truck Containers Empty,664
2025-01,Beecher Falls,Vermont,US-Canada Border,Truck Containers Loaded,432
2025-01,Beecher Falls,Vermont,US-Canada Border,Trucks,885
2025-01,Blaine,Washington,US-Canada Border,Truck Containers Empty,9617
2025-01,Blaine,Washington,US-Canada Border,Truck Containers Loaded,35322
2025-01,Blaine,Washington,US-Canada Border,Trucks,29564
2025-01,Boundary,Washington,US-Canada Border,Truck Containers Loaded,27
2025-01,Boundary,Washington,US-Canada Border,Trucks,22
2025-01,Bridgewater,Maine,US-Canada Border,Truck Containers Empty,326
2025-01,Bridgewater,Maine,US-Canada Border,Truck Containers Loaded,232
2025-01,Bridgewater,Maine,US-Canada Border,Trucks,452
2025-01,Brownsville,Texas,US-Mexico Border,Truck Containers Empty,14344
2025-01,Brownsville,Texas,US-Mexico Border,Truck Containers Loaded,16933
2025-01,Brownsville,Texas,US-Mexico Border,Trucks,23432
2025-01,Buffalo Niagara Falls,New York,US-Canada Border,Truck Containers Empty,16288
2025-01,Buffalo Niagara Falls,New York,US-Canada Border,Truck Containers Loaded,111157
2025-01,Buffalo Niagara Falls,New York,US-Canada Border,Trucks,77391
2025-01,Calais,Maine,US-Canada Border,Truck Containers Empty,1422
2025-01,Calais,Maine,US-Canada Border,Truck Containers Loaded,6477
2025-01,Calais,Maine,US-Canada Border,Trucks,4798
2025-01,Calexico East,California,US-Mexico Border,Truck Containers Empty,19365
2025-01,Calexico East,California,US-Mexico Border,Truck Containers Loaded,45751
2025-01,Calexico East,California,US-Mexico Border,Trucks,40464
2025-01,Carbury,North Dakota,US-Canada Border,Truck Containers Empty,5
2025-01,Carbury,North Dakota,US-Canada Border,Truck Containers Loaded,272
2025-01,Carbury,North Dakota,US-Canada Border,Trucks,144
2025-01,Champlain Rouses Point,New York,US-Canada Border,Truck Containers Empty,2850
2025-01,Champlain Rouses Point,New York,US-Canada Border,Truck Containers Loaded,38502
2025-01,Champlain Rouses Point,New York,US-Canada Border,Trucks,23862
2025-01,Columbus,New Mexico,US-Mexico Border,Truck Containers Empty,343
2025-01,Columbus,New Mexico,US-Mexico Border,Truck Containers Loaded,2725
2025-01,Columbus,New Mexico,US-Mexico Border,Trucks,1709
2025-01,Dalton Cache,Alaska,US-Canada Border,Truck Containers Empty,56
2025-01,Dalton Cache,Alaska,US-Canada Border,Truck Containers Loaded,17
2025-01,Dalton Cache,Alaska,US-Canada Border,Trucks,64
2025-01,Danville,Washington,US-Canada Border,Truck Containers Empty,4
2025-01,Danville,Washington,US-Canada Border,Truck Containers Loaded,19
2025-01,Danville,Washington,US-Canada Border,Trucks,15
2025-01,Del Bonita,Montana,US-Canada Border,Truck Containers Empty,19
2025-01,Del Bonita,Montana,US-Canada Border,Truck Containers Loaded,27
2025-01,Del Bonita,Montana,US-Canada Border,Trucks,46
2025-01,Del Rio,Texas,US-Mexico Border,Truck Containers Empty,1973
2025-01,Del Rio,Texas,US-Mexico Border,Truck Containers Loaded,7778
2025-01,Del Rio,Texas,US-Mexico Border,Trucks,5853
2025-01,Derby Line,Vermont,US-Canada Border,Truck Containers Empty,1037
2025-01,Derby Line,Vermont,US-Canada Border,Truck Containers Loaded,11222
2025-01,Derby Line,Vermont,US-Canada Border,Trucks,6950
2025-01,Detroit,Michigan,US-Canada Border,Truck Containers Empty,27813
2025-01,Detroit,Michigan,US-Canada Border,Truck Containers Loaded,138566
2025-01,Detroit,Michigan,US-Canada Border,Trucks,103463
2025-01,Douglas,Arizona,US-Mexico Border,Truck Containers Empty,941
2025-01,Douglas,Arizona,US-Mexico Border,Truck Containers Loaded,2414
2025-01,Douglas,Arizona,US-Mexico Border,Trucks,2334
2025-01,Dunseith,North Dakota,US-Canada Border,Truck Containers Empty,332
2025-01,Dunseith,North Dakota,US-Canada Border,Truck Containers Loaded,3962
2025-01,Dunseith,North Dakota,US-Canada Border,Trucks,2407
2025-01,Eagle Pass,Texas,US-Mexico Border,Truck Containers Empty,17106
2025-01,Eagle Pass,Texas,US-Mexico Border,Truck Containers Loaded,23019
2025-01,Eagle Pass,Texas,US-Mexico Border,Trucks,27117
2025-01,Eastport,Idaho,US-Canada Border,Truck Containers Empty,973
2025-01,Eastport,Idaho,US-Canada Border,Truck Containers Loaded,6374
2025-01,Eastport,Idaho,US-Canada Border,Trucks,4546
2025-01,Eastport,Maine,US-Canada Border,Truck Containers Empty,94
2025-01,Eastport,Maine,US-Canada Border,Truck Containers Loaded,115
2025-01,Eastport,Maine,US-Canada Border,Trucks,199
2025-01,El Paso,Texas,US-Mexico Border,Truck Containers Empty,8868
2025-01,El Paso,Texas,US-Mexico Border,Truck Containers Loaded,6966
2025-01,El Paso,Texas,US-Mexico Border,Trucks,12746
2025-01,Ferry,Washington,US-Canada Border,Truck Containers Empty,1
2025-01,Ferry,Washington,US-Canada Border,Trucks,1
2025-01,Fort Fairfield,Maine,US-Canada Border,Truck Containers Empty,422
2025-01,Fort Fairfield,Maine,US-Canada Border,Truck Containers Loaded,114
2025-01,Fort Fairfield,Maine,US-Canada Border,Trucks,484
2025-01,Fort Kent,Maine,US-Canada Border,Truck Containers Empty,300
2025-01,Fort Kent,Maine,US-Canada Border,Truck Containers Loaded,20
2025-01,Fort Kent,Maine,US-Canada Border,Trucks,309
2025-01,Fortuna,North Dakota,US-Canada Border,Truck Containers Empty,63
2025-01,Fortuna,North Dakota,US-Canada Border,Truck Containers Loaded,65
2025-01,Fortuna,North Dakota,US-Canada Border,Trucks,99
2025-01,Frontier,Washington,US-Canada Border,Truck Containers Empty,1553
2025-01,Frontier,Washington,US-Canada Border,Truck Containers Loaded,1738
2025-01,Frontier,Washington,US-Canada Border,Trucks,2461
2025-01,Grand Portage,Minnesota,US-Canada Border,Truck Containers Empty,329
2025-01,Grand Portage,Minnesota,US-Canada Border,Truck Containers Loaded,1180
2025-01,Grand Portage,Minnesota,US-Canada Border,Trucks,953
2025-01,Hannah,North Dakota,US-Canada Border,Truck Containers Empty,3
2025-01,Hannah,North Dakota,US-Canada Border,Truck Containers Loaded,8
2025-01,Hannah,North Dakota,US-Canada Border,Trucks,7
2025-01,Hansboro,North Dakota,US-Canada Border,Truck Containers Empty,13
2025-01,Hansboro,North Dakota,US-Canada Border,Trucks,13
2025-01,Hidalgo,Texas,US-Mexico Border,Truck Containers Empty,18740
2025-01,Hidalgo,Texas,US-Mexico Border,Truck Containers Loaded,93872
2025-01,Hidalgo,Texas,US-Mexico Border,Trucks,63187
2025-01,Highgate Springs,Vermont,US-Canada Border,Truck Containers Empty,1741
2025-01,Highgate Springs,Vermont,US-Canada Border,Truck Containers Loaded,13910
2025-01,Highgate Springs,Vermont,US-Canada Border,Trucks,9199
2025-01,Houlton,Maine,US-Canada Border,Truck Containers Empty,1227
2025-01,Houlton,Maine,US-Canada Border,Truck Containers Loaded,12560
2025-01,Houlton,Maine,US-Canada Border,Trucks,7798
2025-01,International Falls,Minnesota,US-Canada Border,Truck Containers Empty,823
2025-01,International Falls,Minnesota,US-Canada Border,Truck Containers Loaded,1243
2025-01,International Falls,Minnesota,US-Canada Border,Trucks,1455
2025-01,Jackman,Maine,US-Canada Border,Truck Containers Empty,4705
2025-01,Jackman,Maine,US-Canada Border,Truck Containers Loaded,3906
2025-01,Jackman,Maine,US-Canada Border,Trucks,6744
2025-01,Kenneth G Ward,Washington,US-Canada Border,Truck Containers Empty,2671
2025-01,Kenneth G Ward,Washington,US-Canada Border,Truck Containers Loaded,626
2025-01,Kenneth G Ward,Washington,US-Canada Border,Trucks,3096
2025-01,Lancaster,Minnesota,US-Canada Border,Truck Containers Empty,322
2025-01,Lancaster,Minnesota,US-Canada Border,Truck Containers Loaded,4
2025-01,Lancaster,Minnesota,US-Canada Border,Trucks,324
2025-01,Laredo,Texas,US-Mexico Border,Truck Containers Empty,61199
2025-01,Laredo,Texas,US-Mexico Border,Truck Containers Loaded,400108
2025-01,Laredo,Texas,US-Mexico Border,Trucks,239825
2025-01,Laurier,Washington,US-Canada Border,Truck Containers Empty,376
2025-01,Laurier,Washington,US-Canada Border,Truck Containers Loaded,191
2025-01,Laurier,Washington,US-Canada Border,Trucks,476
2025-01,Limestone,Maine,US-Canada Border,Truck Containers Empty,127
2025-01,Limestone,Maine,US-Canada Border,Trucks,127
2025-01,Lukeville,Arizona,US-Mexico Border,Truck Containers Loaded,77
2025-01,Lukeville,Arizona,US-Mexico Border,Trucks,58
2025-01,Madawaska,Maine,US-Canada Border,Truck Containers Empty,1023
2025-01,Madawaska,Maine,US-Canada Border,Truck Containers Loaded,426
2025-01,Madawaska,Maine,US-Canada Border,Trucks,1237
2025-01,Maida,North Dakota,US-Canada Border,Truck Containers Empty,49
2025-01,Maida,North Dakota,US-Canada Border,Trucks,49
2025-01,Massena,New York,US-Canada Border,Truck Containers Empty,335
2025-01,Massena,New York,US-Canada Border,Truck Containers Loaded,2207
2025-01,Massena,New York,US-Canada Border,Trucks,1462
2025-01,Metaline Falls,Washington,US-Canada Border,Truck Containers Empty,543
2025-01,Metaline Falls,Washington,US-Canada Border,Truck Containers Loaded,76
2025-01,Metaline Falls,Washington,US-Canada Border,Trucks,584
2025-01,Morgan,Montana,US-Canada Border,Truck Containers Empty,21
2025-01,Morgan,Montana,US-Canada Border,Truck Containers Loaded,14
2025-01,Morgan,Montana,US-Canada Border,Trucks,30
2025-01,Naco,Arizona,US-Mexico Border,Truck Containers Empty,142
2025-01,Naco,Arizona,US-Mexico Border,Truck Containers Loaded,140
2025-01,Naco,Arizona,US-Mexico Border,Trucks,239
2025-01,Neche,North Dakota,US-Canada Border,Truck Containers Empty,376
2025-01,Neche,North Dakota,US-Canada Border,Truck Containers Loaded,578
2025-01,Neche,North Dakota,US-Canada Border,Trucks,699
2025-01,Nogales,Arizona,US-Mexico Border,Truck Containers Empty,10577
2025-01,Nogales,Arizona,US-Mexico Border,Truck Containers Loaded,61864
2025-01,Nogales,Arizona,US-Mexico Border,Trucks,42188
2025-01,Noonan,North Dakota,US-Canada Border,Truck Containers Empty,165
2025-01,Noonan,North Dakota,US-Canada Border,Trucks,165
2025-01,Northgate,North Dakota,US-Canada Border,Truck Containers Empty,139
2025-01,Northgate,North Dakota,US-Canada Border,Truck Containers Loaded,155
2025-01,Northgate,North Dakota,US-Canada Border,Trucks,218
2025-01,Norton,Vermont,US-Canada Border,Truck Containers Empty,154
2025-01,Norton,Vermont,US-Canada Border,Truck Containers Loaded,617
2025-01,Norton,Vermont,US-Canada Border,Trucks,473
2025-01,Ogdensburg,New York,US-Canada Border,Truck Containers Empty,412
2025-01,Ogdensburg,New York,US-Canada Border,Truck Containers Loaded,5162
2025-01,Ogdensburg,New York,US-Canada Border,Trucks,3111
2025-01,Opheim,Montana,US-Canada Border,Truck Containers Empty,4
2025-01,Opheim,Montana,US-Canada Border,Trucks,4
2025-01,Oroville,Washington,US-Canada Border,Truck Containers Empty,803
2025-01,Oroville,Washington,US-Canada Border,Truck Containers Loaded,2561
2025-01,Oroville,Washington,US-Canada Border,Trucks,2127
2025-01,Otay Mesa,California,US-Mexico Border,Truck Containers Empty,23191
2025-01,Otay Mesa,California,US-Mexico Border,Truck Containers Loaded,111496
2025-01,Otay Mesa,California,US-Mexico Border,Trucks,80766
2025-01,Pembina,North Dakota,US-Canada Border,Truck Containers Empty,3007
2025-01,Pembina,North Dakota,US-Canada Border,Truck Containers Loaded,33730
2025-01,Pembina,North Dakota,US-Canada Border,Trucks,21418
2025-01,Piegan,Montana,US-Canada Border,Truck Containers Empty,18
2025-01,Piegan,Montana,US-Canada Border,Truck Containers Loaded,314
2025-01,Piegan,Montana,US-Canada Border,Trucks,196
2025-01,Pinecreek,Minnesota,US-Canada Border,Truck Containers Empty,1
2025-01,Pinecreek,Minnesota,US-Canada Border,Truck Containers Loaded,4
2025-01,Pinecreek,Minnesota,US-Canada Border,Trucks,5
2025-01,Point Roberts,Washington,US-Canada Border,Truck Containers Empty,553
2025-01,Point Roberts,Washington,US-Canada Border,Truck Containers Loaded,128
2025-01,Point Roberts,Washington,US-Canada Border,Trucks,676
2025-01,Port Angeles,Washington,US-Canada Border,Truck Containers Empty,1
2025-01,Port Angeles,Washington,US-Canada Border,Trucks,1
2025-01,Port Huron,Michigan,US-Canada Border,Truck Containers Empty,8999
2025-01,Port Huron,Michigan,US-Canada Border,Truck Containers Loaded,137835
2025-01,Port Huron,Michigan,US-Canada Border,Trucks,85029
2025-01,Portal,North Dakota,US-Canada Border,Truck Containers Empty,1718
